iter	MultiClass
0	1.093062806
1	1.087868996
2	1.08276614
3	1.078474032
4	1.074705993
5	1.070882931
6	1.067590225
7	1.064681404
8	1.061281145
9	1.05844219
10	1.05580863
11	1.053595709
12	1.051133285
13	1.048765716
14	1.046646379
15	1.044593323
16	1.043156672
17	1.041376935
18	1.039993564
19	1.038347038
20	1.036918607
21	1.035880435
22	1.034795229
23	1.033517538
24	1.032200749
25	1.030948963
26	1.029682219
27	1.028633878
28	1.027358727
29	1.026445245
30	1.02561028
31	1.024778842
32	1.024172639
33	1.023279
34	1.022592364
35	1.021957512
36	1.021306697
37	1.020292085
38	1.019772507
39	1.018960186
40	1.018128534
41	1.017446819
42	1.016874826
43	1.016304015
44	1.015832718
45	1.01527001
46	1.014743165
47	1.014538585
48	1.01410038
49	1.013628915
50	1.013331804
51	1.012956869
52	1.012509407
53	1.012011006
54	1.011406873
55	1.010985781
56	1.010537117
57	1.01004829
58	1.00951427
59	1.009309769
60	1.008945923
61	1.008580001
62	1.008251085
63	1.007820587
64	1.007467421
65	1.007051861
66	1.006499468
67	1.006206169
68	1.00599404
69	1.005701979
70	1.005454016
71	1.005073899
72	1.004908758
73	1.004691119
74	1.004365067
75	1.004118891
76	1.003833559
77	1.003608263
78	1.003380127
79	1.003158498
80	1.003041495
81	1.002876996
82	1.002503032
83	1.002119817
84	1.001983058
85	1.001676773
86	1.001411533
87	1.001300377
88	1.001179907
89	1.000865136
90	1.000656082
91	1.000508545
92	1.000332521
93	0.9999055902
94	0.9995913633
95	0.9993955809
96	0.9991929134
97	0.9988976778
98	0.998682068
99	0.9984421111
100	0.9982096185
101	0.9979054288
102	0.9976270303
103	0.9973549301
104	0.997052841
105	0.9970337293
106	0.9966807525
107	0.9964684493
108	0.9962338863
109	0.9960621619
110	0.9957612578
111	0.9954636825
112	0.9953221543
113	0.995129927
114	0.9948684498
115	0.9945992543
116	0.9944789984
117	0.9940948439
118	0.9938608517
119	0.9936720163
120	0.9935094038
121	0.9932920177
122	0.9929841138
123	0.9927196329
124	0.9925417088
125	0.9922961391
