iter	Passed	Remaining
0	158	79336
1	164	40959
2	171	28374
3	177	21952
4	184	18224
5	193	15927
6	203	14348
7	211	12978
8	218	11901
9	225	11031
10	231	10280
11	238	9718
12	245	9185
13	252	8765
14	258	8360
15	265	8019
16	272	7750
17	278	7470
18	285	7222
19	291	6993
20	297	6796
21	305	6628
22	311	6450
23	318	6318
24	324	6166
25	331	6049
26	337	5920
27	344	5804
28	351	5715
29	358	5609
30	365	5526
31	371	5431
32	377	5345
33	384	5275
34	391	5197
35	398	5137
36	404	5062
37	410	4995
38	417	4933
39	423	4865
40	431	4827
41	437	4766
42	444	4724
43	450	4673
44	457	4622
45	464	4587
46	470	4536
47	477	4500
48	483	4453
49	489	4408
50	497	4376
51	503	4334
52	510	4306
53	516	4268
54	523	4234
55	530	4204
56	536	4169
57	544	4146
58	550	4111
59	556	4082
60	563	4053
61	569	4023
62	576	4001
63	583	3973
64	590	3953
65	597	3926
66	604	3903
67	611	3882
68	616	3853
69	624	3835
70	630	3808
71	637	3787
72	644	3767
73	650	3743
74	658	3730
75	665	3712
76	675	3708
77	681	3688
78	689	3675
79	696	3656
80	703	3640
81	709	3617
82	716	3599
83	724	3586
84	730	3565
85	738	3553
86	744	3534
87	751	3519
88	758	3501
89	764	3481
90	771	3467
91	777	3449
92	785	3436
93	791	3418
94	797	3401
95	804	3387
96	811	3370
97	819	3361
98	825	3344
99	832	3331
100	840	3320
101	846	3304
